index,osmid_original,y,x,lon,lat,street_count
3169,151524092,3330303.2617718396,611437.9735614354,-97.8434673,30.0988533,3
3170,151531215,3319567.9269958786,572600.4984175655,-98.247229,30.00491,3
3171,151603360,3319830.4936337555,571945.8140483968,-98.253999,30.007318,3
3172,151479248,3327914.680299986,612982.8810944977,-97.8276909,30.07716,3
3173,151479262,3327915.6323630037,613017.3511916471,-97.8273332,30.0771654,3
3174,1943470640,3328369.239375337,612982.9613694599,-97.8276417,30.0812613,3
3175,151485494,3327911.762411401,612843.0926353907,-97.8291414,30.0771466,3
3176,151485677,3327919.6963201757,613200.5145134216,-97.8254326,30.0771851,3
3177,151479305,3318745.0387972756,586537.9993199047,-98.102796,29.996579,3
3178,151479312,3318760.6262287474,586632.1213811158,-98.101819,29.996713,3
3179,151510867,3318454.6572202668,586548.4723080397,-98.102711,29.993958,3
3181,151556295,3318467.4587228284,586683.0376550185,-98.101315,29.994064,3
3182,151576088,3318360.09207905,586754.7533646834,-98.1005803,29.9930901,3
3183,151579191,3319018.336745457,588299.2011960841,-98.0845156,29.9989194,3
3184,151479524,3320907.8042716254,606999.816770145,-97.890466,30.014477,3
3186,151512639,3321099.4485603077,607036.250795,-97.890069,30.016203,3
3187,151479763,3318798.2567102206,611393.5186885217,-97.8451336,29.9950511,3
3188,9327906314,3318692.40748545,611502.8475203982,-97.8440114,29.9940861,3
3189,3046481499,3318932.235366126,611254.4272181741,-97.8465614,29.9962726,3
3190,9770007846,3318897.013683181,611617.2147771827,-97.8428045,29.9959218,3
3191,151479779,3323273.4266909566,581948.0032687754,-98.150031,30.037757,4
3192,151479888,3323412.158841733,582318.0960606649,-98.146182,30.038984,4
3193,151480839,3323329.246516559,582032.9216029149,-98.149146,30.038255,3
3194,151480853,3323358.838029339,582137.5113502414,-98.148059,30.038515,3
3195,151523703,3317315.8616208998,614431.5273591108,-97.8138018,29.9813959,3
3196,6867267829,3316193.116508485,615571.408579071,-97.8021095,29.9711588,3
3197,151480048,3317766.7759725903,608351.6175951418,-97.87677,29.986017,4
3198,151480051,3317781.353221221,608255.7669216853,-97.877762,29.986157,4
3199,151501100,3317863.6794482707,608366.8764774384,-97.876602,29.98689,4
3200,151560619,3317879.121364419,608268.7991311385,-97.877617,29.987038,4
3201,151559392,3349717.416115807,585741.4758789379,-98.108545,30.276109,3
3202,151488410,3342681.7123840116,578504.5734432597,-98.184305,30.213114,3
3203,151480538,3322561.145227809,593463.6574118846,-98.030666,30.030504,3
3204,151480756,3307779.0650685774,594703.9230448932,-98.0191153,29.897025,3
3206,151480952,3309154.7708136863,605649.034128011,-97.9056333,29.9085466,3
3207,151480937,3308967.191156877,605758.9723870506,-97.9045132,29.9068446,3
3210,151480960,3339749.9589253985,591218.8390530266,-98.052466,30.185772,3
3211,151605972,3340338.3747718437,591462.9142206298,-98.04988,30.191063,3
3212,151539829,3339016.179085711,591259.0261953617,-98.052112,30.179148,3
3213,151498783,3322811.2608253467,587598.1875112982,-98.091471,30.033195,3
3214,151481230,3332325.0253413417,609383.2164862233,-97.86458,30.117281,4
3215,6539307354,3319812.7545889863,595421.0838797439,-98.0106138,30.0055535,3
3216,151481419,3319935.2413480435,595182.4847292254,-98.0130765,30.0066773,3
3217,151481432,3317406.350421346,587066.4122764233,-98.0974274,29.9844619,3
3218,151505824,3317422.5327115897,586742.3716464508,-98.1007849,29.9846309,3
