Index,SubIndex,ChargerNumber,trainingEVdemand,center,avg_volt
1085,17,8.0,1.85714285714286,"(-10872484.21869276, 3529871.6394641856)",1.0342523602844744
1085,18,8.0,2.0,"(-10872484.21869276, 3529871.6394641856)",1.0342523602844744
1085,19,8.0,1.42857142857143,"(-10872484.21869276, 3529871.6394641856)",1.0342523602844744
1085,20,8.0,1.0,"(-10872484.21869276, 3529871.6394641856)",1.0342523602844744
1085,21,8.0,0.857142857142857,"(-10872484.21869276, 3529871.6394641856)",1.0342523602844744
1085,22,8.0,1.14285714285714,"(-10872484.21869276, 3529871.6394641856)",1.0342523602844744
1085,23,8.0,1.71428571428571,"(-10872484.21869276, 3529871.6394641856)",1.0342523602844744
1086,0,2.0,0.142857142857143,"(-10884339.744462244, 3525525.1478782697)",1.0236906247718953
1086,1,2.0,0.142857142857143,"(-10884339.744462244, 3525525.1478782697)",1.0236906247718953
1086,2,2.0,0.142857142857143,"(-10884339.744462244, 3525525.1478782697)",1.0236906247718953
1086,3,2.0,0.428571428571429,"(-10884339.744462244, 3525525.1478782697)",1.0236906247718953
1086,4,2.0,0.571428571428571,"(-10884339.744462244, 3525525.1478782697)",1.0236906247718953
1086,5,2.0,0.285714285714286,"(-10884339.744462244, 3525525.1478782697)",1.0236906247718953
1086,6,2.0,0.142857142857143,"(-10884339.744462244, 3525525.1478782697)",1.0236906247718953
1086,7,2.0,0.142857142857143,"(-10884339.744462244, 3525525.1478782697)",1.0236906247718953
1086,8,2.0,0.0,"(-10884339.744462244, 3525525.1478782697)",1.0236906247718953
1086,9,2.0,0.285714285714286,"(-10884339.744462244, 3525525.1478782697)",1.0236906247718953
1086,10,2.0,0.285714285714286,"(-10884339.744462244, 3525525.1478782697)",1.0236906247718953
1086,11,2.0,0.571428571428571,"(-10884339.744462244, 3525525.1478782697)",1.0236906247718953
1086,12,2.0,0.571428571428571,"(-10884339.744462244, 3525525.1478782697)",1.0236906247718953
1086,13,2.0,0.142857142857143,"(-10884339.744462244, 3525525.1478782697)",1.0236906247718953
1086,14,2.0,0.142857142857143,"(-10884339.744462244, 3525525.1478782697)",1.0236906247718953
1086,15,2.0,0.285714285714286,"(-10884339.744462244, 3525525.1478782697)",1.0236906247718953
1086,16,2.0,0.285714285714286,"(-10884339.744462244, 3525525.1478782697)",1.0236906247718953
1086,17,2.0,0.428571428571429,"(-10884339.744462244, 3525525.1478782697)",1.0236906247718953
1086,18,2.0,0.571428571428571,"(-10884339.744462244, 3525525.1478782697)",1.0236906247718953
1086,19,2.0,0.428571428571429,"(-10884339.744462244, 3525525.1478782697)",1.0236906247718953
1086,20,2.0,0.285714285714286,"(-10884339.744462244, 3525525.1478782697)",1.0236906247718953
1086,21,2.0,0.0,"(-10884339.744462244, 3525525.1478782697)",1.0236906247718953
1086,22,2.0,0.0,"(-10884339.744462244, 3525525.1478782697)",1.0236906247718953
1086,23,2.0,0.285714285714286,"(-10884339.744462244, 3525525.1478782697)",1.0236906247718953
1087,0,7.0,1.85714285714286,"(-10883880.551562723, 3526684.066691091)",1.0235417465384211
1087,1,7.0,1.28571428571429,"(-10883880.551562723, 3526684.066691091)",1.0235417465384211
1087,2,7.0,1.42857142857143,"(-10883880.551562723, 3526684.066691091)",1.0235417465384211
1087,3,7.0,1.0,"(-10883880.551562723, 3526684.066691091)",1.0235417465384211
1087,4,7.0,1.57142857142857,"(-10883880.551562723, 3526684.066691091)",1.0235417465384211
1087,5,7.0,1.71428571428571,"(-10883880.551562723, 3526684.066691091)",1.0235417465384211
1087,6,7.0,1.28571428571429,"(-10883880.551562723, 3526684.066691091)",1.0235417465384211
1087,7,7.0,1.14285714285714,"(-10883880.551562723, 3526684.066691091)",1.0235417465384211
1087,8,7.0,1.42857142857143,"(-10883880.551562723, 3526684.066691091)",1.0235417465384211
1087,9,7.0,1.14285714285714,"(-10883880.551562723, 3526684.066691091)",1.0235417465384211
1087,10,7.0,1.14285714285714,"(-10883880.551562723, 3526684.066691091)",1.0235417465384211
1087,11,7.0,2.14285714285714,"(-10883880.551562723, 3526684.066691091)",1.0235417465384211
1087,12,7.0,1.71428571428571,"(-10883880.551562723, 3526684.066691091)",1.0235417465384211
1087,13,7.0,2.28571428571429,"(-10883880.551562723, 3526684.066691091)",1.0235417465384211
1087,14,7.0,2.0,"(-10883880.551562723, 3526684.066691091)",1.0235417465384211
1087,15,7.0,2.28571428571429,"(-10883880.551562723, 3526684.066691091)",1.0235417465384211
1087,16,7.0,1.57142857142857,"(-10883880.551562723, 3526684.066691091)",1.0235417465384211
1087,17,7.0,1.14285714285714,"(-10883880.551562723, 3526684.066691091)",1.0235417465384211
1087,18,7.0,0.857142857142857,"(-10883880.551562723, 3526684.066691091)",1.0235417465384211
1087,19,7.0,1.0,"(-10883880.551562723, 3526684.066691091)",1.0235417465384211
1087,20,7.0,1.57142857142857,"(-10883880.551562723, 3526684.066691091)",1.0235417465384211
1087,21,7.0,2.14285714285714,"(-10883880.551562723, 3526684.066691091)",1.0235417465384211
1087,22,7.0,3.42857142857143,"(-10883880.551562723, 3526684.066691091)",1.0235417465384211
1087,23,7.0,2.28571428571429,"(-10883880.551562723, 3526684.066691091)",1.0235417465384211
