PrimaryIndex,Hour,EV_demand_pred,center,avg_volt
73,7,0.2785236,"(-10857130.816974942, 3566673.7526442404)",1.0155555871920963
73,8,0.2785236,"(-10857130.816974942, 3566673.7526442404)",1.0155555871920963
73,9,0.2785236,"(-10857130.816974942, 3566673.7526442404)",1.0155555871920963
73,10,0.2785236,"(-10857130.816974942, 3566673.7526442404)",1.0155555871920963
73,11,0.2785236,"(-10857130.816974942, 3566673.7526442404)",1.0155555871920963
73,12,0.2785236,"(-10857130.816974942, 3566673.7526442404)",1.0155555871920963
73,13,0.2785236,"(-10857130.816974942, 3566673.7526442404)",1.0155555871920963
73,14,0.2785236,"(-10857130.816974942, 3566673.7526442404)",1.0155555871920963
73,15,0.2785236,"(-10857130.816974942, 3566673.7526442404)",1.0155555871920963
73,16,0.2785236,"(-10857130.816974942, 3566673.7526442404)",1.0155555871920963
73,17,0.2785236,"(-10857130.816974942, 3566673.7526442404)",1.0155555871920963
73,18,0.2785236,"(-10857130.816974942, 3566673.7526442404)",1.0155555871920963
73,19,0.2785236,"(-10857130.816974942, 3566673.7526442404)",1.0155555871920963
73,20,0.2785236,"(-10857130.816974942, 3566673.7526442404)",1.0155555871920963
73,21,0.2785236,"(-10857130.816974942, 3566673.7526442404)",1.0155555871920963
73,22,0.2785236,"(-10857130.816974942, 3566673.7526442404)",1.0155555871920963
73,23,0.2785236,"(-10857130.816974942, 3566673.7526442404)",1.0155555871920963
79,0,0.52283484,"(-10850830.816974942, 3528873.7526442404)",0.9526905958656163
79,1,0.52283484,"(-10850830.816974942, 3528873.7526442404)",0.9526905958656163
79,2,0.52283484,"(-10850830.816974942, 3528873.7526442404)",0.9526905958656163
79,3,0.52283484,"(-10850830.816974942, 3528873.7526442404)",0.9526905958656163
79,4,0.52283484,"(-10850830.816974942, 3528873.7526442404)",0.9526905958656163
79,5,0.52283484,"(-10850830.816974942, 3528873.7526442404)",0.9526905958656163
79,6,0.52283484,"(-10850830.816974942, 3528873.7526442404)",0.9526905958656163
79,7,0.52283484,"(-10850830.816974942, 3528873.7526442404)",0.9526905958656163
79,8,0.624475,"(-10850830.816974942, 3528873.7526442404)",0.9526905958656163
79,9,0.6770246,"(-10850830.816974942, 3528873.7526442404)",0.9526905958656163
79,10,0.6770246,"(-10850830.816974942, 3528873.7526442404)",0.9526905958656163
79,11,0.52283484,"(-10850830.816974942, 3528873.7526442404)",0.9526905958656163
79,12,0.6770246,"(-10850830.816974942, 3528873.7526442404)",0.9526905958656163
79,13,0.6770246,"(-10850830.816974942, 3528873.7526442404)",0.9526905958656163
79,14,0.6770246,"(-10850830.816974942, 3528873.7526442404)",0.9526905958656163
79,15,0.6386615,"(-10850830.816974942, 3528873.7526442404)",0.9526905958656163
79,16,0.6340952,"(-10850830.816974942, 3528873.7526442404)",0.9526905958656163
79,17,0.6340952,"(-10850830.816974942, 3528873.7526442404)",0.9526905958656163
79,18,0.624475,"(-10850830.816974942, 3528873.7526442404)",0.9526905958656163
79,19,0.624475,"(-10850830.816974942, 3528873.7526442404)",0.9526905958656163
79,20,0.52283484,"(-10850830.816974942, 3528873.7526442404)",0.9526905958656163
79,21,0.52283484,"(-10850830.816974942, 3528873.7526442404)",0.9526905958656163
79,22,0.52283484,"(-10850830.816974942, 3528873.7526442404)",0.9526905958656163
79,23,0.52283484,"(-10850830.816974942, 3528873.7526442404)",0.9526905958656163
80,0,0.85758924,"(-10850830.816974942, 3535173.7526442404)",1.031767728318305
80,1,0.85758924,"(-10850830.816974942, 3535173.7526442404)",1.031767728318305
80,2,0.85758924,"(-10850830.816974942, 3535173.7526442404)",1.031767728318305
80,3,0.85758924,"(-10850830.816974942, 3535173.7526442404)",1.031767728318305
80,4,0.85758924,"(-10850830.816974942, 3535173.7526442404)",1.031767728318305
80,5,0.85758924,"(-10850830.816974942, 3535173.7526442404)",1.031767728318305
80,6,0.85758924,"(-10850830.816974942, 3535173.7526442404)",1.031767728318305
80,7,0.85758924,"(-10850830.816974942, 3535173.7526442404)",1.031767728318305
80,8,0.85758924,"(-10850830.816974942, 3535173.7526442404)",1.031767728318305
